91|Nightmare Before Christmas, The (1993)|1993|5|118
92|True Romance (1993)|1993|2|81
93|Welcome to the Dollhouse (1995)|1996|6|89
94|Home Alone (1990)|1990|5|106
95|Aladdin (1992)|1992|4|184
96|Terminator 2: Judgment Day (1991)|1991|2|240
97|Dances with Wolves (1990)|1990|3|208
98|Silence of the Lambs, The (1991)|1991|9|300
99|Snow White and the Seven Dwarfs (1937)|1937|4|136
100|Fargo (1996)|1997|7|395
101|Heavy Metal (1981)|1981|2|54
102|Aristocats, The (1970)|1970|4|40
103|All Dogs Go to Heaven 2 (1996)|1996|4|8
104|Theodore Rex (1995)|1996|6|3
105|Sgt. Bilko (1996)|1996|6|60
106|Diabolique (1996)|1996|9|54
107|Moll Flanders (1996)|1996|9|33
108|Kids in the Hall: Brain Candy (1996)|1996|6|51
109|Mystery Science Theater 3000: The Movie (1996)|1996|6|100
110|Operation Dumbo Drop (1995)|1995|2|25
111|Truth About Cats & Dogs, The (1996)|1996|6|234
112|Flipper (1996)|1996|3|16
113|Horseman on the Roof, The (Hussard sur le toit, Le) (1995)|1996|9|7
114|Wallace & Gromit: The Best of Aardman Animation (1996)|1996|4|45
115|Haunted World of Edward D. Wood Jr., The (1995)|1996|8|10
116|Cold Comfort Farm (1995)|1996|6|103
117|Rock, The (1996)|1996|2|302
118|Twister (1996)|1996|2|240
119|Maya Lin: A Strong Clear Vision (1994)|1994|8|3
120|Striptease (1996)|1996|6|46
121|Independence Day (ID4) (1996)|1996|2|353
122|Cable Guy, The (1996)|1996|6|85
123|Frighteners, The (1996)|1996|6|95
124|Lone Star (1996)|1996|9|148
125|Phenomenon (1996)|1996|9|198
126|Spitfire Grill, The (1996)|1996|9|76
127|Godfather, The (1972)|1972|2|340
128|Supercop (1992)|1996|2|50
129|Bound (1996)|1996|7|99
130|Kansas City (1996)|1996|7|20
131|Breakfast at Tiffany's (1961)|1961|9|77
132|Wizard of Oz, The (1939)|1939|3|200
133|Gone with the Wind (1939)|1939|9|138
134|Citizen Kane (1941)|1941|9|158
135|2001: A Space Odyssey (1968)|1968|9|202
136|Mr. Smith Goes to Washington (1939)|1939|9|85
137|Big Night (1996)|1996|9|141
138|D3: The Mighty Ducks (1996)|1996|5|12
139|Love Bug, The (1969)|1969|5|37
140|Homeward Bound: The Incredible Journey (1993)|1993|3|49
141|20,000 Leagues Under the Sea (1954)|1954|3|61
142|Bedknobs and Broomsticks (1971)|1971|3|41
143|Sound of Music, The (1965)|1965|13|178
144|Die Hard (1988)|1988|2|195
145|Lawnmower Man, The (1992)|1992|2|52
146|Unhook the Stars (1996)|1996|9|8
147|Long Kiss Goodnight, The (1996)|1996|2|145
148|Ghost and the Darkness, The (1996)|1996|2|86
149|Jude (1996)|1996|9|18
150|Swingers (1996)|1996|6|126
151|Willy Wonka and the Chocolate Factory (1971)|1971|3|260
152|Sleeper (1973)|1973|6|63
153|Fish Called Wanda, A (1988)|1988|6|197
154|Monty Python's Life of Brian (1979)|1979|6|130
155|Dirty Dancing (1987)|1987|13|77
156|Reservoir Dogs (1992)|1992|7|115
157|Platoon (1986)|1986|9|99
158|Weekend at Bernie's (1989)|1989|6|50
159|Basic Instinct (1992)|1992|14|81
160|Glengarry Glen Ross (1992)|1992|9|49
161|Top Gun (1986)|1986|2|173
162|On Golden Pond (1981)|1981|9|81
163|Return of the Pink Panther, The (1974)|1974|6|72
164|Abyss, The (1989)|1989|2|116
165|Jean de Florette (1986)|1986|9|55
166|Manon of the Spring (Manon des sources) (1986)|1986|9|51
167|Private Benjamin (1980)|1980|6|57
168|Monty Python and the Holy Grail (1974)|1974|6|264
169|Wrong Trousers, The (1993)|1993|4|97
170|Cinema Paradiso (1988)|1988|6|104
171|Delicatessen (1991)|1991|6|56
172|Empire Strikes Back, The (1980)|1980|2|295
173|Princess Bride, The (1987)|1987|2|266
174|Raiders of the Lost Ark (1981)|1981|2|344
175|Brazil (1985)|1985|16|156
176|Aliens (1986)|1986|2|226
177|Good, The Bad and The Ugly, The (1966)|1966|2|116
178|12 Angry Men (1957)|1957|9|102
179|Clockwork Orange, A (1971)|1971|16|182
180|Apocalypse Now (1979)|1979|9|179
181|Return of the Jedi (1983)|1997|2|422
182|GoodFellas (1990)|1990|7|177
183|Alien (1979)|1979|2|223
184|Army of Darkness (1993)|1993|2|93
185|Psycho (1960)|1960|12|193
186|Blues Brothers, The (1980)|1980|2|206
187|Godfather: Part II, The (1974)|1974|2|176
188|Full Metal Jacket (1987)|1987|2|133
189|Grand Day Out, A (1992)|1992|4|48
190|Henry V (1989)|1989|9|98
191|Amadeus (1984)|1984|9|218
192|Raging Bull (1980)|1980|9|98
193|Right Stuff, The (1983)|1983|9|126
194|Sting, The (1973)|1973|6|189
195|Terminator, The (1984)|1984|2|239
196|Dead Poets Society (1989)|1989|9|197
197|Graduate, The (1967)|1967|9|192
198|Nikita (La Femme Nikita) (1990)|1990|17|104
199|Bridge on the River Kwai, The (1957)|1957|9|130
200|Shining, The (1980)|1980|12|165
201|Evil Dead II (1987)|1987|2|71
202|Groundhog Day (1993)|1993|6|224
203|Unforgiven (1992)|1992|19|147
204|Back to the Future (1985)|1985|6|277
205|Patton (1970)|1970|9|113
206|Akira (1988)|1988|3|38
207|Cyrano de Bergerac (1990)|1990|2|54
208|Young Frankenstein (1974)|1974|6|156
209|This Is Spinal Tap (1984)|1984|6|149
210|Indiana Jones and the Last Crusade (1989)|1989|2|271
211|M*A*S*H (1970)|1970|6|170
212|Unbearable Lightness of Being, The (1988)|1988|9|72
213|Room with a View, A (1986)|1986|9|103
214|Pink Floyd - The Wall (1982)|1982|9|87
215|Field of Dreams (1989)|1989|9|167
216|When Harry Met Sally... (1989)|1989|6|218
217|Bram Stoker's Dracula (1992)|1992|12|95
218|Cape Fear (1991)|1991|17|126
219|Nightmare on Elm Street, A (1984)|1984|12|89
220|Mirror Has Two Faces, The (1996)|1996|6|53
221|Breaking the Waves (1996)|1996|9|57
222|Star Trek: First Contact (1996)|1996|2|294
223|Sling Blade (1996)|1996|9|110
224|Ridicule (1996)|1996|9|34
225|101 Dalmatians (1996)|1996|5|90
226|Die Hard 2 (1990)|1990|2|132
227|Star Trek VI: The Undiscovered Country (1991)|1991|2|128
228|Star Trek: The Wrath of Khan (1982)|1982|2|194
229|Star Trek III: The Search for Spock (1984)|1984|2|134
230|Star Trek IV: The Voyage Home (1986)|1986|2|159
231|Batman Returns (1992)|1992|2|114
232|Young Guns (1988)|1988|2|78
233|Under Siege (1992)|1992|2|102
234|Jaws (1975)|1975|2|218
235|Mars Attacks! (1996)|1996|2|177
236|Citizen Ruth (1996)|1996|6|38
237|Jerry Maguire (1996)|1996|9|309
238|Raising Arizona (1987)|1987|6|207
239|Sneakers (1992)|1992|7|122
240|Beavis and Butt-head Do America (1996)|1996|4|126
241|Last of the Mohicans, The (1992)|1992|2|92
242|Kolya (1996)|1997|6|94
243|Jungle2Jungle (1997)|1997|5|108
244|Smilla's Sense of Snow (1997)|1997|2|40
245|Devil's Own, The (1997)|1997|2|193
246|Chasing Amy (1997)|1997|9|97
247|Turbo: A Power Rangers Movie (1997)|1997|2|4
248|Grosse Pointe Blank (1997)|1997|6|131
249|Austin Powers: International Man of Mystery (1997)|1997|6|103
250|Fifth Element, The (1997)|1997|2|159
251|Shall We Dance? (1996)|1997|6|34
252|Lost World: Jurassic Park, The (1997)|1997|2|125
253|Pillow Book, The (1995)|1997|9|21
254|Batman & Robin (1997)|1997|2|51
255|My Best Friend's Wedding (1997)|1997|6|140
256|When the Cats Away (Chacun cherche son chat) (1996)|1997|6|14
257|Men in Black (1997)|1997|2|251
258|Contact (1997)|1997|9|402
259|George of the Jungle (1997)|1997|5|133
260|Event Horizon (1997)|1997|2|101
261|Air Bud (1997)|1997|5|34
262|In the Company of Men (1997)|1997|9|55
263|Steel (1997)|1997|2|16
264|Mimic (1997)|1997|16|84
265|Hunt for Red October, The (1990)|1990|2|169
266|Kull the Conqueror (1997)|1997|2|27
268|Chasing Amy (1997)|1997|9|203
269|Full Monty, The (1997)|1997|6|252
270|Gattaca (1997)|1997|9|113
271|Starship Troopers (1997)|1997|2|178
272|Good Will Hunting (1997)|1997|9|154
273|Heat (1995)|1995|2|185
274|Sabrina (1995)|1995|6|152
275|Sense and Sensibility (1995)|1995|9|217
276|Leaving Las Vegas (1995)|1995|9|235
277|Restoration (1995)|1995|9|52
278|Bed of Roses (1996)|1996|9|46
279|Once Upon a Time... When We Were Colored (1995)|1995|9|21
280|Up Close and Personal (1996)|1996|9|73
281|River Wild, The (1994)|1994|2|113
282|Time to Kill, A (1996)|1996|9|192
283|Emma (1996)|1996|9|152
284|Tin Cup (1996)|1996|6|161
285|Secrets & Lies (1996)|1996|9|135
286|English Patient, The (1996)|1996|9|388
287|Marvin's Room (1996)|1996|9|61
288|Scream (1996)|1996|12|391
289|Evita (1996)|1996|9|210
290|Fierce Creatures (1997)|1997|6|76
291|Absolute Power (1997)|1997|14|101
292|Rosewood (1997)|1997|9|92
293|Donnie Brasco (1997)|1997|7|129
294|Liar Liar (1997)|1997|6|394
295|Breakdown (1997)|1997|2|60
296|Promesse, La (1996)|1997|9|6
297|Ulee's Gold (1997)|1997|9|39
298|Face/Off (1997)|1997|2|152
299|Hoodlum (1997)|1997|7|58
300|Air Force One (1997)|1997|2|352
301|In & Out (1997)|1997|6|187
302|L.A. Confidential (1997)|1997|7|245
303|Ulee's Gold (1997)|1997|9|110
304|Fly Away Home (1996)|1996|3|122
305|Ice Storm, The (1997)|1997|9|68
306|Mrs. Brown (Her Majesty, Mrs. Brown) (1997)|1997|9|75
307|Devil's Advocate, The (1997)|1997|7|157
308|FairyTale: A True Story (1997)|1997|5|24
309|Deceiver (1997)|1997|7|21
310|Rainmaker, The (1997)|1997|9|124
311|Wings of the Dove, The (1997)|1997|9|65
312|Midnight in the Garden of Good and Evil (1997)|1997|6|62
313|Titanic (1997)|1997|2|277
314|3 Ninjas: High Noon At Mega Mountain (1998)|1997|2|2
315|Apt Pupil (1998)|1998|9|136
316|As Good As It Gets (1997)|1997|6|96
317|In the Name of the Father (1993)|1993|9|81
318|Schindler's List (1993)|1993|9|237
319|Everyone Says I Love You (1996)|1996|6|145
320|Paradise Lost: The Child Murders at Robin Hood Hills (1996)|1996|8|15
321|Mother (1996)|1996|6|135
322|Murder at 1600 (1997)|1997|14|170
323|Dante's Peak (1997)|1997|2|199
324|Lost Highway (1997)|1997|14|99
325|Crash (1996)|1997|9|93
326|G.I. Jane (1997)|1997|2|151
327|Cop Land (1997)|1997|7|139
328|Conspiracy Theory (1997)|1997|2|237
329|Desperate Measures (1998)|1998|7|40
330|187 (1997)|1997|9|38
331|Edge, The (1997)|1997|3|93
332|Kiss the Girls (1997)|1997|7|112
333|Game, The (1997)|1997|14|207
334|U Turn (1997)|1997|2|51
335|How to Be a Player (1997)|1997|6|18
336|Playing God (1997)|1997|7|34
337|House of Yes, The (1997)|1997|6|15
338|Bean (1997)|1997|6|74
339|Mad City (1997)|1997|2|38
340|Boogie Nights (1997)|1997|9|155
341|Critical Care (1997)|1997|6|7
342|Man Who Knew Too Little, The (1997)|1997|6|44
343|Alien: Resurrection (1997)|1997|2|106
344|Apostle, The (1997)|1997|9|47
345|Deconstructing Harry (1997)|1997|6|54
346|Jackie Brown (1997)|1997|7|104
347|Wag the Dog (1997)|1998|6|110
348|Desperate Measures (1998)|1998|7|21
349|Hard Rain (1998)|1998|2|25
350|Fallen (1998)|1998|2|30
351|Prophecy II, The (1998)|1998|12|14
352|Spice World (1997)|1997|6|24
353|Deep Rising (1998)|1998|2|12
354|Wedding Singer, The (1998)|1998|6|59
355|Sphere (1998)|1998|3|36
356|Client, The (1994)|1994|9|82
357|One Flew Over the Cuckoo's Nest (1975)|1975|9|210
358|Spawn (1997)|1997|2|131
359|Assignment, The (1997)|1997|17|15
360|Wonderland (1997)|1997|8|8
361|Incognito (1997)|1997|7|7
362|Blues Brothers 2000 (1998)|1998|2|21
363|Sudden Death (1995)|1995|2|34
364|Ace Ventura: When Nature Calls (1995)|1995|6|29
365|Powder (1995)|1995|9|40
366|Dangerous Minds (1995)|1995|9|32
367|Clueless (1995)|1995|6|146
368|Bio-Dome (1996)|1996|6|20
369|Black Sheep (1996)|1996|6|43
370|Mary Reilly (1996)|1996|9|27
371|Bridges of Madison County, The (1995)|1996|9|57
372|Jeffrey (1995)|1995|6|27
373|Judge Dredd (1995)|1995|2|35
374|Mighty Morphin Power Rangers: The Movie (1995)|1995|2|8
375|Showgirls (1995)|1995|9|19
376|Houseguest (1994)|1994|6|19
377|Heavyweights (1994)|1994|5|9
378|Miracle on 34th Street (1994)|1994|9|84
379|Tales From the Crypt Presents: Demon Knight (1995)|1995|12|30
380|Star Trek: Generations (1994)|1994|2|97
381|Muriel's Wedding (1994)|1994|6|81
382|Adventures of Priscilla, Queen of the Desert, The (1994)|1994|6|90
383|Flintstones, The (1994)|1994|5|21
384|Naked Gun 33 1/3: The Final Insult (1994)|1994|6|53
385|True Lies (1994)|1994|2|168
386|Addams Family Values (1993)|1993|6|69
387|Age of Innocence, The (1993)|1993|9|45
388|Beverly Hills Cop III (1994)|1994|2|26
389|Black Beauty (1994)|1994|3|21
390|Fear of a Black Hat (1993)|1993|6|8
391|Last Action Hero (1993)|1993|2|48
392|Man Without a Face, The (1993)|1993|9|58
393|Mrs. Doubtfire (1993)|1993|6|159
394|Radioland Murders (1994)|1994|6|10
395|Robin Hood: Men in Tights (1993)|1993|6|45
396|Serial Mom (1994)|1994|6|40
397|Striking Distance (1993)|1993|2|9
398|Super Mario Bros. (1993)|1993|2|23
399|Three Musketeers, The (1993)|1993|2|77
400|Little Rascals, The (1994)|1994|5|16
401|Brady Bunch Movie, The (1995)|1995|6|60
402|Ghost (1990)|1990|6|133
403|Batman (1989)|1989|2|160
404|Pinocchio (1940)|1940|4|81
405|Mission: Impossible (1996)|1996|2|280
406|Thinner (1996)|1996|12|32
407|Spy Hard (1996)|1996|6|33
408|Close Shave, A (1995)|1996|4|93
409|Jack (1996)|1996|6|52
410|Kingpin (1996)|1996|6|126
411|Nutty Professor, The (1996)|1996|6|125
412|Very Brady Sequel, A (1996)|1996|6|75
413|Tales from the Crypt Presents: Bordello of Blood (1996)|1996|12|42
414|My Favorite Year (1982)|1982|6|44
415|Apple Dumpling Gang, The (1975)|1975|5|21
416|Old Yeller (1957)|1957|5|57
417|Parent Trap, The (1961)|1961|5|57
418|Cinderella (1950)|1950|4|94
419|Mary Poppins (1964)|1964|5|147
420|Alice in Wonderland (1951)|1951|4|64
421|William Shakespeare's Romeo and Juliet (1996)|1996|9|79
422|Aladdin and the King of Thieves (1996)|1996|4|22
423|E.T. the Extra-Terrestrial (1982)|1982|5|237
424|Children of the Corn: The Gathering (1996)|1996|12|13
425|Bob Roberts (1992)|1992|6|65
426|Transformers: The Movie, The (1986)|1986|2|24
427|To Kill a Mockingbird (1962)|1962|9|180
428|Harold and Maude (1971)|1971|6|101
429|Day the Earth Stood Still, The (1951)|1951|9|79
430|Duck Soup (1933)|1933|6|79
431|Highlander (1986)|1986|2|124
432|Fantasia (1940)|1940|4|137
433|Heathers (1989)|1989|6|131
434|Forbidden Planet (1956)|1956|16|62
435|Butch Cassidy and the Sundance Kid (1969)|1969|2|168
436|American Werewolf in London, An (1981)|1981|12|74
437|Amityville 1992: It's About Time (1992)|1992|12|3
438|Amityville 3-D (1983)|1983|12|6
439|Amityville: A New Generation (1993)|1993|12|3
440|Amityville II: The Possession (1982)|1982|12|11
441|Amityville Horror, The (1979)|1979|12|42
442|Amityville Curse, The (1990)|1990|12|3
443|Birds, The (1963)|1963|12|121
444|Blob, The (1958)|1958|12|39
445|Body Snatcher, The (1945)|1945|12|16
446|Burnt Offerings (1976)|1976|12|9
447|Carrie (1976)|1976|12|98
448|Omen, The (1976)|1976|12|61
449|Star Trek: The Motion Picture (1979)|1979|2|96
450|Star Trek V: The Final Frontier (1989)|1989|2|43
451|Grease (1978)|1978|6|138
452|Jaws 2 (1978)|1978|2|51
453|Jaws 3-D (1983)|1983|2|13
454|Bastard Out of Carolina (1996)|1996|9|9
455|Jackie Chan's First Strike (1996)|1997|2|119
456|Beverly Hills Ninja (1997)|1997|2|38
457|Free Willy 3: The Rescue (1997)|1997|3|22
458|Nixon (1995)|1995|9|74
459|Cry, the Beloved Country (1995)|1995|9|19
460|Crossing Guard, The (1995)|1995|9|24
461|Smoke (1995)|1995|9|59
462|Like Water For Chocolate (Como agua para chocolate) (1992)|1992|9|121
463|Secret of Roan Inish, The (1994)|1994|3|59
464|Vanya on 42nd Street (1994)|1994|9|18
465|Jungle Book, The (1994)|1994|3|70
466|Red Rock West (1992)|1992|17|41
467|Bronx Tale, A (1993)|1993|9|37
468|Rudy (1993)|1993|9|57
469|Short Cuts (1993)|1993|9|56
470|Tombstone (1993)|1993|19|87
471|Courage Under Fire (1996)|1996|9|173
472|Dragonheart (1996)|1996|2|126
473|James and the Giant Peach (1996)|1996|4|104
474|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|1963|16|151
475|Trainspotting (1996)|1996|9|195
476|First Wives Club, The (1996)|1996|6|122
477|Matilda (1996)|1996|5|78
478|Philadelphia Story, The (1940)|1940|6|82
479|Vertigo (1958)|1958|14|141
480|North by Northwest (1959)|1959|6|139
481|Apartment, The (1960)|1960|6|50
482|Some Like It Hot (1959)|1959|6|101
483|Casablanca (1942)|1942|9|195
484|Maltese Falcon, The (1941)|1941|11|107
485|My Fair Lady (1964)|1964|13|94
486|Sabrina (1954)|1954|6|45
487|Roman Holiday (1953)|1953|6|55
488|Sunset Blvd. (1950)|1950|11|50
489|Notorious (1946)|1946|11|43
490|To Catch a Thief (1955)|1955|6|40
491|Adventures of Robin Hood, The (1938)|1938|2|57
492|East of Eden (1955)|1955|9|46
493|Thin Man, The (1934)|1934|14|41
494|His Girl Friday (1940)|1940|6|44
495|Around the World in 80 Days (1956)|1956|3|46
496|It's a Wonderful Life (1946)|1946|9|190
497|Bringing Up Baby (1938)|1938|6|57
498|African Queen, The (1951)|1951|2|119
499|Cat on a Hot Tin Roof (1958)|1958|9|49
500|Fly Away Home (1996)|1996|3|25
501|Dumbo (1941)|1941|4|96
502|Bananas (1971)|1971|6|44
503|Candidate, The (1972)|1972|9|29
504|Bonnie and Clyde (1967)|1967|7|96
505|Dial M for Murder (1954)|1954|14|52
506|Rebel Without a Cause (1955)|1955|9|78
507|Streetcar Named Desire, A (1951)|1951|9|80
508|People vs. Larry Flynt, The (1996)|1996|9|166
509|My Left Foot (1989)|1989|9|95
510|Magnificent Seven, The (1954)|1954|2|101
511|Lawrence of Arabia (1962)|1962|3|132
512|Wings of Desire (1987)|1987|6|47
513|Third Man, The (1949)|1949|14|61
514|Annie Hall (1977)|1977|6|142
515|Boot, Das (1981)|1997|2|166
516|Local Hero (1983)|1983|6|45
517|Manhattan (1979)|1979|6|72
518|Miller's Crossing (1990)|1990|9|66
519|Treasure of the Sierra Madre, The (1948)|1948|3|67
520|Great Escape, The (1963)|1963|3|101
521|Deer Hunter, The (1978)|1978|9|97
522|Down by Law (1986)|1986|6|26
523|Cool Hand Luke (1967)|1967|6|133
524|Great Dictator, The (1940)|1940|6|36
525|Big Sleep, The (1946)|1946|11|62
526|Ben-Hur (1959)|1959|2|100
527|Gandhi (1982)|1982|9|157
528|Killing Fields, The (1984)|1984|9|100
529|My Life as a Dog (Mitt liv som hund) (1985)|1985|9|80
530|Man Who Would Be King, The (1975)|1975|3|57
531|Shine (1996)|1996|9|106
532|Kama Sutra: A Tale of Love (1996)|1997|15|19
533|Daytrippers, The (1996)|1997|14|14
534|Traveller (1997)|1997|9|9
535|Addicted to Love (1997)|1997|6|49
536|Ponette (1996)|1997|9|9
537|My Own Private Idaho (1991)|1991|9|26
538|Anastasia (1997)|1997|4|57
539|Mouse Hunt (1997)|1997|5|37
540|Money Train (1995)|1995|2|31
541|Mortal Kombat (1995)|1995|2|40
542|Pocahontas (1995)|1995|4|41
543|Mis�rables, Les (1995)|1995|9|16
544|Things to Do in Denver when You're Dead (1995)|1996|7|57
545|Vampire in Brooklyn (1995)|1995|6|9
546|Broken Arrow (1996)|1996|2|208
547|Young Poisoner's Handbook, The (1995)|1996|7|33
548|NeverEnding Story III, The (1994)|1996|5|10
549|Rob Roy (1995)|1995|9|78
550|Die Hard: With a Vengeance (1995)|1995|2|122
551|Lord of Illusions (1995)|1995|12|13
552|Species (1995)|1995|16|32
553|Walk in the Clouds, A (1995)|1995|9|51
554|Waterworld (1995)|1995|2|73
555|White Man's Burden (1995)|1995|9|7
556|Wild Bill (1995)|1995|19|9
557|Farinelli: il castrato (1994)|1994|9|15
558|Heavenly Creatures (1994)|1994|9|54
559|Interview with the Vampire (1994)|1994|9|108
560|Kid in King Arthur's Court, A (1995)|1995|3|19
561|Mary Shelley's Frankenstein (1994)|1994|9|48
562|Quick and the Dead, The (1995)|1995|2|41
563|Stephen King's The Langoliers (1995)|1995|12|24
564|Tales from the Hood (1995)|1995|6|17
565|Village of the Damned (1995)|1995|12|17
566|Clear and Present Danger (1994)|1994|2|145
567|Wes Craven's New Nightmare (1994)|1994|12|29
568|Speed (1994)|1994|2|178
569|Wolf (1994)|1994|9|52
570|Wyatt Earp (1994)|1994|19|40
571|Another Stakeout (1993)|1993|6|21
572|Blown Away (1994)|1994|2|24
573|Body Snatchers (1993)|1993|12|26
574|Boxing Helena (1993)|1993|14|8
575|City Slickers II: The Legend of Curly's Gold (1994)|1994|6|36
576|Cliffhanger (1993)|1993|2|73
577|Coneheads (1993)|1993|6|29
578|Demolition Man (1993)|1993|2|71
579|Fatal Instinct (1993)|1993|6|15
580|Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)|1995|6|24
581|Kalifornia (1993)|1993|9|46
582|Piano, The (1993)|1993|9|139
583|Romeo Is Bleeding (1993)|1993|7|25
584|Secret Garden, The (1993)|1993|5|66
585|Son in Law (1993)|1993|6|36
586|Terminal Velocity (1994)|1994|2|30
587|Hour of the Pig, The (1993)|1993|9|9
588|Beauty and the Beast (1991)|1991|4|155
589|Wild Bunch, The (1969)|1969|19|33
590|Hellraiser: Bloodline (1996)|1996|2|16
591|Primal Fear (1996)|1996|9|150
592|True Crime (1995)|1995|14|6
593|Stalingrad (1993)|1993|18|8
594|Heavy (1995)|1996|9|4
595|Fan, The (1996)|1996|17|56
596|Hunchback of Notre Dame, The (1996)|1996|4|96
597|Eraser (1996)|1996|2|166
598|Big Squeeze, The (1996)|1996|6|3
599|Police Story 4: Project S (Chao ji ji hua) (1993)|1996|2|0
600|Daniel Defoe's Robinson Crusoe (1996)|1996|5|2
601|For Whom the Bell Tolls (1943)|1943|3|18
602|American in Paris, An (1951)|1951|13|40
603|Rear Window (1954)|1954|14|173
604|It Happened One Night (1934)|1934|6|61
605|Meet Me in St. Louis (1944)|1944|13|24
606|All About Eve (1950)|1950|9|57
607|Rebecca (1940)|1940|15|55
608|Spellbound (1945)|1945|14|23
609|Father of the Bride (1950)|1950|6|49
610|Gigi (1958)|1958|13|34
611|Laura (1944)|1944|7|35
612|Lost Horizon (1937)|1937|9|27
613|My Man Godfrey (1936)|1936|6|23
614|Giant (1956)|1956|9|36
615|39 Steps, The (1935)|1935|17|51
616|Night of the Living Dead (1968)|1968|12|47
617|Blue Angel, The (Blaue Engel, Der) (1930)|1930|9|14
618|Picnic (1955)|1955|9|12
619|Extreme Measures (1996)|1996|9|52
620|Chamber, The (1996)|1996|9|35
621|Davy Crockett, King of the Wild Frontier (1955)|1955|19|9
622|Swiss Family Robinson (1960)|1960|3|33
623|Angels in the Outfield (1994)|1994|5|31
624|Three Caballeros, The (1945)|1945|4|16
625|Sword in the Stone, The (1963)|1963|4|67
626|So Dear to My Heart (1949)|1949|5|2
